state,party,contributions_18_governor/lieutenant_governor_in_state,contributions_18_governor/lieutenant_governor_out_of_state,contributions_18_governor/lieutenant_governor_unknown,contributions_18_governor/lieutenant_governor_total,contributions_18_state_house/assembly/senate_in_state,contributions_18_state_house/assembly/senate_out_of_state,contributions_18_state_house/assembly/senate_unknown,contributions_18_state_house/assembly/senate_total,pct_governor/lieutenant_governor_in_state,pct_governor/lieutenant_governor_out_of_state,pct_governor/lieutenant_governor_unknown,pct_state_house/assembly/senate_in_state,pct_state_house/assembly/senate_out_of_state,pct_state_house/assembly/senate_unknown
AK,Democratic,"$448,392","$37,730",$250,"$486,371","$1,323,760","$59,793","$3,880","$1,387,433",92%,8%,0%,95%,4%,0%
AK,Republican,"$841,763","$22,129",$59,"$863,951","$1,516,942","$66,270",$5,"$1,583,216",97%,3%,0%,96%,4%,0%
AK,Third-Party,"$506,930","$33,402",$0,"$540,332","$6,612",$50,$0,"$6,662",94%,6%,0%,99%,1%,0%
AL,Democratic,"$1,912,676","$78,671","-$16,485","$1,974,861","$3,898,402","$341,336","-$30,108","$4,209,630",97%,4%,-1%,93%,8%,-1%
AL,Republican,"$12,984,812","$896,446","$738,623","$14,619,881","$17,082,681","$1,128,055","-$52,487","$18,158,249",89%,6%,5%,94%,6%,0%
AL,Third-Party,$0,$0,$0,$0,$0,"$1,500",$0,"$1,500",,,,0%,100%,0%
AR,Democratic,"$206,496","$84,633",$0,"$291,129","$873,598","$187,029","$27,553","$1,088,180",71%,29%,0%,80%,17%,3%
AR,Republican,"$3,811,723","$401,307",$0,"$4,213,030","$2,640,815","$251,355","$110,480","$3,002,650",90%,10%,0%,88%,8%,4%
AR,Third-Party,"$2,425",$0,$0,"$2,425","$17,045",$250,$0,"$17,295",100%,0%,0%,99%,1%,0%
CA,Democratic,"$60,117,372","$6,812,521","$123,141","$67,053,034","$54,013,451","$9,755,235","$37,460","$63,806,146",90%,10%,0%,85%,15%,0%
CA,Republican,"$11,300,027","$303,047","$3,294","$11,606,368","$24,156,481","$3,596,553","$25,951","$27,778,985",97%,3%,0%,87%,13%,0%
