state,party,contributions_10_governor/lieutenant_governor_in_state,contributions_10_governor/lieutenant_governor_out_of_state,contributions_10_governor/lieutenant_governor_unknown,contributions_10_governor/lieutenant_governor_total,contributions_10_state_house/assembly/senate_in_state,contributions_10_state_house/assembly/senate_out_of_state,contributions_10_state_house/assembly/senate_unknown,contributions_10_state_house/assembly/senate_total,pct_governor/lieutenant_governor_in_state,pct_governor/lieutenant_governor_out_of_state,pct_governor/lieutenant_governor_unknown,pct_state_house/assembly/senate_in_state,pct_state_house/assembly/senate_out_of_state,pct_state_house/assembly/senate_unknown
AK,Democratic,"$697,266","$44,396",-$680,"$740,982","$1,073,603","$38,075","$2,007","$1,113,685",94%,6%,0%,96%,3%,0%
AK,Republican,"$2,049,833","$116,486","$3,017","$2,169,336","$1,216,464","$36,872","$2,694","$1,256,029",94%,5%,0%,97%,3%,0%
AK,Third-Party,"$1,100",$0,$0,"$1,100","$69,767","$1,301",$0,"$71,068",100%,0%,0%,98%,2%,0%
AL,Democratic,"$4,964,171","$424,690","$2,750","$5,391,611","$11,224,175","$484,472","$171,502","$11,880,149",92%,8%,0%,94%,4%,1%
AL,Republican,"$18,798,694","$685,698","$13,681","$19,498,073","$9,740,984","$526,383","$22,757","$10,290,124",96%,4%,0%,95%,5%,0%
AL,Third-Party,$0,$0,$0,$0,"$535,765","$77,100","-$12,279","$600,586",,,,89%,13%,-2%
AR,Democratic,"$1,800,194","$85,500",$300,"$1,885,994","$2,644,886","$281,859","$27,257","$2,954,001",95%,5%,0%,90%,10%,1%
AR,Republican,"$56,558","$5,500",$0,"$62,058","$1,229,967","$136,721","$1,872","$1,368,560",91%,9%,0%,90%,10%,0%
AR,Third-Party,$0,$0,$0,$0,"$2,681",$0,$0,"$2,681",,,,100%,0%,0%
CA,Democratic,"$37,363,372","$2,856,084",$650,"$40,220,105","$50,012,458","$7,038,565","$7,050","$57,058,073",93%,7%,0%,88%,12%,0%
CA,Republican,"$171,529,425","$5,368,267",$100,"$176,897,792","$21,193,978","$1,765,413","$16,432","$22,975,823",97%,3%,0%,92%,8%,0%
CA,Third-Party,"$49,417","$4,932",$600,"$54,949","$13,277",$275,$200,"$13,752",90%,9%,1%,97%,2%,1%
CO,Democratic,"$2,976,191","$359,401",-$4,"$3,335,588","$3,250,510","$388,143","-$5,024","$3,633,630",89%,11%,0%,89%,11%,0%
CO,Republican,"$2,040,255","$329,463",$20,"$2,369,738","$2,406,287","$184,161",$145,"$2,590,593",86%,14%,0%,93%,7%,0%
CO,Third-Party,"$418,580","$172,894",$15,"$591,489","$47,372","$5,775",$0,"$53,147",71%,29%,0%,89%,11%,0%
CT,Democratic,"$18,887,663","$218,298",$0,"$19,105,961","$3,474,352","$43,998",$105,"$3,518,455",99%,1%,0%,99%,1%,0%
CT,Republican,"$7,738,521","$462,923",$0,"$8,201,444","$2,649,155","$42,695",-$120,"$2,691,731",94%,6%,0%,98%,2%,0%
CT,Third-Party,"$10,024",$100,$0,"$10,124","$6,196","$2,720",$0,"$8,916",99%,1%,0%,69%,31%,0%
DE,Democratic,$0,$0,$0,$0,"$893,442","$188,900","$1,893","$1,084,235",,,,82%,17%,0%
DE,Republican,$0,$0,$0,$0,"$874,370","$89,838","$6,742","$970,950",,,,90%,9%,1%
DE,Third-Party,$0,$0,$0,$0,"$10,061",$300,$0,"$10,361",,,,97%,3%,0%
FL,Democratic,"$13,102,691","$1,106,319","$52,409","$14,261,419","$8,943,570","$782,299","$28,261","$9,754,130",92%,8%,0%,92%,8%,0%
FL,Republican,"$56,123,701","$669,349","$30,642","$56,823,691","$24,560,752","$2,296,633","$53,983","$26,911,368",99%,1%,0%,91%,9%,0%
FL,Third-Party,"$208,337","$18,341",$350,"$227,028","$264,034","$3,550",$237,"$267,821",92%,8%,0%,99%,1%,0%
GA,Democratic,"$7,086,898","$1,789,694",$0,"$8,876,592","$2,572,484","$505,270","$1,925","$3,079,679",80%,20%,0%,84%,16%,0%
GA,Republican,"$12,195,792","$1,331,932",$0,"$13,527,724","$8,550,900","$1,478,142",$0,"$10,029,042",90%,10%,0%,85%,15%,0%
GA,Third-Party,"$9,465","$1,625",$0,"$11,090","$9,502",$500,$0,"$10,002",85%,15%,0%,95%,5%,0%
HI,Democratic,"$2,539,729","$500,983",$0,"$3,040,712","$1,762,637","$134,160",$0,"$1,896,797",84%,16%,0%,93%,7%,0%
HI,Republican,"$92,476","$7,950",$0,"$100,426","$399,120","$39,304",$0,"$438,424",92%,8%,0%,91%,9%,0%
HI,Third-Party,$0,$0,$0,$0,"$3,025",$0,$0,"$3,025",,,,100%,0%,0%
IA,Democratic,"$4,515,855","$2,290,989",$0,"$6,806,844","$2,670,395","$408,798","$110,429","$3,189,622",66%,34%,0%,84%,13%,3%
IA,Republican,"$5,393,930","$1,730,885",$70,"$7,124,884","$2,409,449","$191,544","$25,364","$2,626,357",76%,24%,0%,92%,7%,1%
IA,Third-Party,"$10,145",$25,$0,"$10,170","$1,550",$0,$0,"$1,550",100%,0%,0%,100%,0%,0%
ID,Democratic,"$875,238","$254,688",$50,"$1,129,976","$786,726","$138,164","$1,677","$926,567",77%,23%,0%,85%,15%,0%
ID,Republican,"$2,038,958","$561,001",-$50,"$2,599,909","$2,003,250","$404,515",$0,"$2,407,765",78%,22%,0%,83%,17%,0%
ID,Third-Party,"$119,914","$11,355",$0,"$131,269","$4,551",$0,$0,"$4,551",91%,9%,0%,100%,0%,0%
IL,Democratic,"$15,779,801","$1,055,853","$5,937","$16,841,591","$15,861,746","$2,047,114","$10,050","$17,918,910",94%,6%,0%,89%,11%,0%
IL,Republican,"$16,922,703","$1,961,738","$1,000","$18,885,441","$9,632,006","$971,777",$100,"$10,603,883",90%,10%,0%,91%,9%,0%
IL,Third-Party,"$23,442","$9,232","$1,615,438","$1,648,112","$24,747",$200,$0,"$24,947",1%,1%,98%,99%,1%,0%
IN,Democratic,$0,$0,$0,$0,"$2,160,448","$404,270","$2,558","$2,567,276",,,,84%,16%,0%
IN,Republican,$0,$0,$0,$0,"$3,639,238","$414,407","$3,126","$4,056,771",,,,90%,10%,0%
IN,Third-Party,$0,$0,$0,$0,$600,$0,$0,$600,,,,100%,0%,0%
KS,Democratic,$0,$0,$0,$0,"$315,326","$97,687","$1,087","$414,100",,,,76%,24%,0%
KS,Republican,"$914,447","$604,332",$0,"$1,518,780","$485,362","$157,544","$2,190","$645,096",60%,40%,0%,75%,24%,0%
KY,Democratic,$0,$0,$0,$0,"$6,576,347","$507,523",$683,"$7,084,553",,,,93%,7%,0%
KY,Republican,$0,$0,$0,$0,"$3,736,031","$349,037",$0,"$4,085,068",,,,91%,9%,0%
KY,Third-Party,$0,$0,$0,$0,"$219,822","$18,267",$0,"$238,088",,,,92%,8%,0%
MA,Democratic,"$6,587,221","$681,450","$11,605","$7,280,277","$11,967,258","$761,573","$27,781","$12,756,612",90%,9%,0%,94%,6%,0%
MA,Republican,"$7,526,746","$635,044","-$1,671","$8,160,119","$2,072,338","$124,235","$2,851","$2,199,424",92%,8%,0%,94%,6%,0%
